exp_id,max_frames,weights_fn,tracker_type,max_age,min_hits,iou_threshold,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),Dets,GT_Dets,IDs,GT_IDs
t80v20t0-yolov8le200b144gpu1-sortma0mh0it0,10000,t80v20t0-yolov8le200b144gpu1.pt,sort,0,0,0,37.852,91.963,15.594,94.287,94.492,17.005,70.899,92.89,38.344,40.619,92.27,37.479,99783,100000,107,10
t80v20t0-yolov8le200b144gpu1-sortma5mh0it0,10000,t80v20t0-yolov8le200b144gpu1.pt,sort,5,0,0,39.083,91.994,16.62,94.292,94.497,25.203,35.506,92.853,39.587,41.942,92.27,38.7,99783,100000,32,10
t80v20t0-yolov8le200b144gpu1-sortma10mh0it0,10000,t80v20t0-yolov8le200b144gpu1.pt,sort,10,0,0,44.382,91.567,21.53,94.063,94.268,30.132,37.146,92.805,45,47.821,92.062,44.025,99783,100000,25,10
t80v20t0-yolov8le200b144gpu1-sortma15mh0it0,10000,t80v20t0-yolov8le200b144gpu1.pt,sort,15,0,0,44.201,91.482,21.375,94.017,94.222,29.817,36.721,92.792,44.827,47.658,92.019,43.854,99783,100000,24,10
t80v20t0-yolov8le200b144gpu1-sortma20mh0it0,10000,t80v20t0-yolov8le200b144gpu1.pt,sort,20,0,0,42.732,91.431,19.988,93.99,94.194,29.312,33.744,92.79,43.342,46.137,92.002,42.447,99783,100000,23,10
sortma2mh0it0yolov8m_e1000s100_dp,10000,yolov8m_e1000s100_dp.pt,sort,2,0,0,38.41,92.632,15.942,94.933,95.128,20.708,45.026,93.441,38.902,40.903,92.853,37.98,99795,100000,39,10
sortma11mh0it0yolov8m_e1000s100_dp,10000,yolov8m_e1000s100_dp.pt,sort,11,0,0,43.558,92.356,20.559,94.779,94.974,30.649,35.931,93.389,44.141,46.614,92.707,43.214,99795,100000,15,10
sortma17mh0it0yolov8m_e1000s100_dp,10000,yolov8m_e1000s100_dp.pt,sort,17,0,0,44.53,92.14,21.536,94.664,94.859,32.733,34.091,93.363,45.15,47.762,92.598,44.227,99795,100000,13,10
sortma25mh0it0yolov8m_e1000s100_dp,10000,yolov8m_e1000s100_dp.pt,sort,25,0,0,44.53,92.14,21.536,94.664,94.859,32.733,34.091,93.363,45.15,47.762,92.598,44.227,99795,100000,13,10
sortma2mh0it0yolov8m_e1000s100_dp_epoch900,10000,yolov8m_e1000s100_dp_epoch900.pt,sort,2,0,0,38.149,92.816,15.695,95.018,95.222,20.68,44.662,93.475,38.617,40.58,92.96,37.723,99785,100000,41,10
sortma11mh0it0yolov8m_e1000s100_dp_epoch900,10000,yolov8m_e1000s100_dp_epoch900.pt,sort,11,0,0,42.277,92.711,19.294,94.957,95.161,28.241,33.939,93.454,42.802,45.054,92.903,41.856,99785,100000,15,10
sortma17mh0it0yolov8m_e1000s100_dp_epoch900,10000,yolov8m_e1000s100_dp_epoch900.pt,sort,17,0,0,43.11,92.479,20.113,94.834,95.038,30.059,32.832,93.427,43.672,46.038,92.786,42.717,99785,100000,13,10
sortma25mh0it0yolov8m_e1000s100_dp_epoch900,10000,yolov8m_e1000s100_dp_epoch900.pt,sort,25,0,0,43.11,92.479,20.113,94.834,95.038,30.059,32.832,93.427,43.672,46.038,92.786,42.717,99785,100000,13,10
sortma2mh0it0yolov8xe1000b64gpu2_epoch500,10000,yolov8xe1000b64gpu2_epoch500.pt,sort,2,0,0,37.551,92.387,15.277,94.768,94.97,19.18,46.684,93.382,38.049,40.101,92.739,37.189,99787,100000,40,10
sortma11mh0it0yolov8xe1000b64gpu2_epoch500,10000,yolov8xe1000b64gpu2_epoch500.pt,sort,11,0,0,37.791,92.188,15.506,94.655,94.857,23.883,30.81,93.334,38.31,40.462,92.627,37.479,99787,100000,16,10
sortma17mh0it0yolov8xe1000b64gpu2_epoch500,10000,yolov8xe1000b64gpu2_epoch500.pt,sort,17,0,0,37.193,92.11,15.032,94.613,94.815,24.474,27.222,93.32,37.712,39.857,92.587,36.902,99787,100000,14,10
sortma25mh0it0yolov8xe1000b64gpu2_epoch500,10000,yolov8xe1000b64gpu2_epoch500.pt,sort,25,0,0,37.193,92.11,15.032,94.613,94.815,24.474,27.222,93.32,37.712,39.857,92.587,36.902,99787,100000,14,10
sortma2mh0it0yolov8xe1000b64gpu2_epoch900,10000,yolov8xe1000b64gpu2_epoch900.pt,sort,2,0,0,39.258,92.714,16.639,94.957,95.16,19.972,50.588,93.463,39.748,41.794,92.907,38.829,99786,100000,39,10
sortma11mh0it0yolov8xe1000b64gpu2_epoch900,10000,yolov8xe1000b64gpu2_epoch900.pt,sort,11,0,0,41.122,92.056,18.384,94.602,94.805,26.955,35.034,93.377,41.702,44.142,92.598,40.875,99786,100000,16,10
sortma17mh0it0yolov8xe1000b64gpu2_epoch900,10000,yolov8xe1000b64gpu2_epoch900.pt,sort,17,0,0,40.268,92.295,17.583,94.731,94.934,27.342,30.544,93.404,40.811,43.119,92.707,39.975,99786,100000,14,10
sortma25mh0it0yolov8xe1000b64gpu2_epoch900,10000,yolov8xe1000b64gpu2_epoch900.pt,sort,25,0,0,40.268,92.295,17.583,94.731,94.934,27.342,30.544,93.404,40.811,43.119,92.707,39.975,99786,100000,14,10
ma2mh0it0,10400,best-organizers.pt,sort,2,0,0,41.317,92.605,18.451,94.84,95.046,22.572,53.06,93.318,41.831,44.03,92.8,40.86,99784,100000,51,10
ma11mh0it0,10400,best-organizers.pt,sort,11,0,0,38.888,92.423,16.377,94.737,94.942,23.901,35.837,93.279,39.388,41.545,92.708,38.515,99784,100000,30,10
ma17mh0it0,10400,best-organizers.pt,sort,17,0,0,38.452,92.379,16.02,94.712,94.917,23.684,33.69,93.268,38.951,41.096,92.685,38.089,99784,100000,27,10
ma25mh0it0,10400,best-organizers.pt,sort,25,0,0,38.452,92.379,16.02,94.712,94.917,23.684,33.69,93.268,38.951,41.096,92.685,38.089,99784,100000,26,10
8xb64e900-ma2mh0it0,10400,yolov8xe1000b64gpu2_epoch900.pt,sort,2,0,0,39.258,92.714,16.639,94.957,95.16,19.972,50.588,93.463,39.748,41.794,92.907,38.829,99786,100000,39,10
8xb64e900-ma11mh0it0,10400,yolov8xe1000b64gpu2_epoch900.pt,sort,11,0,0,41.122,92.056,18.384,94.602,94.805,26.955,35.034,93.377,41.702,44.142,92.598,40.875,99786,100000,16,10
8xb64e900-ma17mh0it0,10400,yolov8xe1000b64gpu2_epoch900.pt,sort,17,0,0,40.268,92.295,17.583,94.731,94.934,27.342,30.544,93.404,40.811,43.119,92.707,39.975,99786,100000,14,10
8xb64e900-ma25mh0it0,10400,yolov8xe1000b64gpu2_epoch900.pt,sort,25,0,0,40.268,92.295,17.583,94.731,94.934,27.342,30.544,93.404,40.811,43.119,92.707,39.975,99786,100000,14,10
